,uuid,name,sire,dam,sex,alive,plumage,acquired_on,age,coef_inbreeding,p_kinship,p_k_mean,p_group_median,p_group_mean,p_group_upper,p_group_lower,k_score
55,9a09b0,cobalt_110,cobalt_57,purple_174,F,1,fawn,2023-01-11,838.0,0.007812,,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,NA
58,a9167f,cobalt_122,cobalt_32,ruby_203,M,1,gray,2023-02-09,809.0,-0.0,,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,NA
60,abad48,cobalt_126,cobalt_206,purple_179,M,1,gray,2023-02-21,797.0,0.0,,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,NA
67,d52e8e,cobalt_165,cobalt_80,purple_190,M,1,gray,2023-04-12,747.0,0.000244,0.000485,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,7
71,986382,cobalt_197,cobalt_32,ruby_203,F,1,silver,2023-07-24,644.0,-0.0,,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,NA
76,debe05,cobalt_208,purple_126,purple_122,M,1,gray,2022-06-19,1044.0,-0.0,,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,NA
88,b197b2,cobalt_310,cobalt_247,purple_142,F,1,fawn,2024-02-05,448.0,0.023926,0.047436,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,0
89,aa9442,cobalt_312,cobalt_137,cobalt_245,M,1,gray,2024-02-11,442.0,0.021851,,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,NA
90,a23a09,cobalt_314,cobalt_98,cobalt_7,M,1,gray,2024-02-05,448.0,-0.0,0.0,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,10
91,cd02e2,cobalt_315,cobalt_98,cobalt_7,F,1,silver,2024-02-05,448.0,-0.0,0.0,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,10
96,7bfea2,cobalt_326,cobalt_122,cobalt_110,M,1,gray,2024-02-19,434.0,0.015625,0.031129,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,4
97,7cce9e,cobalt_328,ruby_202,cobalt_73,M,1,gray,2024-03-01,423.0,-0.0,0.0,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,10
107,4ddaa9,cobalt_373,cobalt_182,cobalt_175,F,1,silver,2024-05-19,344.0,0.015625,0.031129,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,4
108,d408b2,cobalt_379,cobalt_137,cobalt_245,M,1,gray,2024-06-30,302.0,0.021851,,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,NA
114,b7ddd1,cobalt_391,cobalt_126,ruby_236,M,1,pied,2024-06-29,303.0,0.017578,,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,NA
116,99c0c3,cobalt_397,ruby_246,cobalt_197,F,1,gray,2024-06-24,308.0,0.013794,,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,NA
190,c3888b,purple_206,ruby_270,ruby_256,F,1,gray,2024-07-11,291.0,0.056427,0.11181,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,0
192,e34cb8,purple_219,ruby_298,cobalt_310,M,1,gray,2024-07-24,278.0,0.013916,0.027398,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,4
195,4a56f2,purple_222,cobalt_55,cobalt_25,F,1,silver,2024-08-08,263.0,0.012451,0.024522,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,4
204,2066df,purple_245,purple_157,ruby_257,F,1,fawn,2024-09-07,233.0,0.039307,0.07837,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,0
239,60cc84,ruby_236,purple_117,cobalt_54,F,1,silver,2022-05-08,1086.0,0.015625,0.03125,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,0
240,d4ecfb,ruby_246,cobalt_80,purple_190,M,1,gray,2023-07-07,661.0,0.000244,0.000485,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,7
241,033857,ruby_250,purple_113,cobalt_22,F,1,gray,2023-08-02,635.0,0.015625,0.030773,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,4
245,a27f47,ruby_256,purple_166,ruby_207,F,1,gray,2023-08-21,616.0,0.006226,0.012355,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,7
246,8b8f92,ruby_257,purple_166,ruby_207,F,1,gray,2023-08-21,616.0,0.006226,0.012355,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,7
248,4d0ab0,ruby_259,cobalt_98,cobalt_7,F,1,gray,2023-08-28,609.0,-0.0,0.0,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,10
253,b52ce8,ruby_270,cobalt_55,cobalt_25,M,1,gray,2023-09-24,582.0,0.012451,0.024522,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,4
255,e6df9d,ruby_273,cobalt_6,cobalt_9,F,1,silver,2023-09-20,586.0,0.018555,0.036001,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,0
263,af9fc6,ruby_298,cobalt_57,purple_174,M,1,gray,2023-12-28,487.0,0.007812,,0.01748827272727273,0.024522,0.02631684210526316,0.031189500000000002,0.000485,NA
